Wall time,Step,Value
1677058392.852146,32513,-0.05700000375509262
1677059363.770183,32895,-0.21700000762939453
1677059619.957967,32995,-0.5410000085830688
1677060153.058398,33195,-0.22600001096725464
1677060684.773491,33395,-0.4690000116825104
1677060957.250985,33495,-0.19900000095367432
1677061215.659242,33595,-0.5859999656677246
1677061488.340474,33695,-0.19900000095367432
1677061757.859197,33795,-0.19900000095367432
1677062026.944698,33895,-0.22600001096725464
1677062296.826898,33995,-0.19900000095367432
1677063393.522751,34100,-0.21700000762939453
1677063661.802366,34200,-0.19900000095367432
1677064197.423328,34400,-0.19900000095367432
1677064467.770101,34500,-0.21700000762939453
1677064738.224582,34600,-0.20800000429153442
1677065007.932836,34700,-0.22600001096725464
1677065548.112137,34900,-0.19900000095367432
1677065817.084491,35000,-0.20800000429153442
1677066314.545832,35200,-0.9279999732971191
1677066567.652196,35300,-0.6579999923706055
1677066835.060386,35400,-0.2980000078678131
1677067104.397556,35500,-0.19900000095367432
1677067373.098105,35600,-0.20800000429153442
1677067639.793268,35700,-0.2800000011920929
1677067908.223077,35800,-0.2529999911785126
1677068177.199629,35900,-0.21700000762939453
1677068446.812405,36000,-0.19900000095367432
1677069514.649629,36079,-0.07900000363588333
1677070570.240221,36479,-0.5590000152587891
1677070839.290083,36579,-0.20800000429153442
1677071107.455936,36679,-0.19900000095367432
1677071643.680511,36879,-0.19900000095367432
1677071906.44587,36979,-0.3070000112056732
1677072969.797371,37379,-0.33399999141693115
1677073493.805321,37579,-0.3790000081062317
1677073765.53829,37679,-0.19900000095367432
1677074034.064155,37779,-0.19900000095367432
1677075632.266927,38100,-0.20800000429153442
1677075899.527004,38200,-0.19900000095367432
1677076155.932398,38300,-0.46000000834465027
1677076424.141152,38400,-0.24400000274181366
1677076689.860478,38500,-0.2619999945163727
1677076958.933722,38600,-0.20800000429153442
1677077226.615065,38700,-0.19900000095367432
1677077495.109367,38800,-0.19900000095367432
1677077737.355789,38900,-0.8379999995231628
1677078006.59152,39000,-0.19900000095367432
1677078271.772935,39100,-0.2529999911785126
1677078538.900765,39200,-0.19900000095367432
1677078808.164669,39300,-0.21700000762939453
1677078928.701012,39318,-0.018000001087784767
1677079463.89067,39518,-0.19900000095367432
1677079734.452138,39640,-0.02200000174343586
1677079998.644541,39740,-0.2619999945163727
1677080258.384197,39840,-0.3970000147819519
1677080528.758694,39940,-0.20800000429153442
1677082293.820078,40300,-0.19900000095367432
1677082561.201271,40400,-0.19900000095367432
1677082820.431361,40500,-0.4059999883174896
1677083087.982841,40600,-0.19900000095367432
1677083895.599002,40900,-0.19900000095367432
1677084153.87363,41000,-0.3880000114440918
1677084690.625896,41200,-0.19900000095367432
1677084957.743664,41300,-0.21700000762939453
1677085491.071042,41500,-0.21700000762939453
1677085758.534576,41600,-0.19900000095367432
1677086027.380463,41700,-0.19900000095367432
1677086296.023658,41800,-0.19900000095367432
1677086827.991873,42000,-0.2619999945163727
1677087888.505092,42100,-0.43299999833106995
1677088155.848056,42200,-0.22600001096725464
1677088813.560926,42427,0.9520000219345093
1677089080.095065,42527,-0.22600001096725464
1677089348.752634,42627,-0.19900000095367432
1677089614.602828,42727,-0.22600001096725464
1677089884.317529,42827,-0.19900000095367432
1677090151.846476,42927,-0.19900000095367432
1677090422.298333,43027,-0.19900000095367432
1677090553.469711,43070,-0.0430000014603138
1677091082.249872,43270,-0.22600001096725464
1677091350.533772,43370,-0.19900000095367432
1677091618.449461,43470,-0.19900000095367432
1677091885.123307,43570,-0.19900000095367432
1677092683.086667,43888,-0.018000001087784767
1677092951.046799,43988,-0.19900000095367432
1677094051.041507,44100,-0.289000004529953
1677094316.272759,44200,-0.23499999940395355
1677094577.091365,44300,-0.35199999809265137
1677095099.333087,44471,-0.19900000095367432
1677095619.169459,44671,-0.34299999475479126
1677096155.898266,44871,-0.19900000095367432
1677096423.54435,44971,-0.19900000095367432
1677096679.791192,45071,-0.44200000166893005
1677097217.635527,45271,-0.19900000095367432
1677097483.975452,45371,-0.19900000095367432
1677097746.712674,45471,-0.289000004529953
1677098272.529216,45671,-0.42399999499320984
1677098539.903746,45771,-0.19900000095367432
1677098803.847908,45871,-0.2529999911785126
1677099068.403411,45971,-0.2619999945163727
1677100432.666791,46189,-0.2709999978542328
1677100697.932369,46289,-0.22600001096725464
1677100967.028768,46389,-0.19900000095367432
1677101755.857038,46689,-0.2709999978542328
1677102023.605458,46789,-0.19900000095367432
1677102149.763705,46816,-0.027000000700354576
1677102416.10568,46916,-0.19900000095367432
1677102683.832903,47016,-0.19900000095367432
1677102950.096908,47116,-0.19900000095367432
1677103219.787723,47216,-0.19900000095367432
1677103745.094807,47416,-0.44200000166893005
1677104014.917509,47516,-0.19900000095367432
1677104279.66707,47616,-0.2800000011920929
1677104538.193615,47716,-0.45100000500679016
1677104804.965958,47816,-0.19900000095367432
1677105070.866757,47916,-0.20800000429153442
1677106747.956593,48300,-0.20800000429153442
1677107001.022684,48400,-0.5320000052452087
1677107539.512215,48600,-0.19900000095367432
1677107799.452699,48700,-0.3700000047683716
1677108034.074172,48800,-0.9639999866485596
1677108566.177178,49000,-0.32499998807907104
1677108823.630434,49100,-0.4690000116825104
1677109093.416683,49200,-0.19900000095367432
1677109873.873002,49500,-0.32499998807907104
1677110144.206261,49600,-0.19900000095367432
1677110414.463403,49700,-0.19900000095367432
1677110667.341561,49800,-0.5320000052452087
1677110935.117701,49900,-0.2529999911785126
1677111198.147968,50000,-0.32499998807907104
1677112320.721765,50100,-0.23499999940395355
1677112577.023517,50200,-0.4869999885559082
1677112836.190876,50300,-0.42399999499320984
1677113368.673738,50500,-0.42399999499320984
1677113641.170692,50600,-0.20800000429153442
1677113908.017896,50700,-0.24400000274181366
1677114155.995844,50761,-0.17800000309944153
1677114416.773288,50861,-0.5230000019073486
1677114687.599582,50961,-0.19900000095367432
1677115099.747923,51128,-0.13899999856948853
1677115903.351736,51428,-0.24400000274181366
1677116840.60834,51756,-0.23499999940395355
1677117383.917195,51956,-0.19900000095367432
1677118498.467992,52100,-0.5590000152587891
1677118746.302106,52200,-0.7479999661445618
1677119020.454447,52300,-0.19900000095367432
1677119293.388823,52400,-0.19900000095367432
1677119566.221031,52500,-0.2619999945163727
1677119820.259391,52600,-0.6399999856948853
1677120092.073032,52700,-0.24400000274181366
1677120366.234394,52800,-0.19900000095367432
1677120631.277366,52890,0.8119999766349792
1677120902.986101,52990,-0.19900000095367432
1677121174.432886,53090,-0.20800000429153442
1677121445.248356,53190,-0.19900000095367432
1677121991.273713,53390,-0.20800000429153442
1677122261.258423,53490,-0.21700000762939453
1677123079.549646,53790,-0.19900000095367432
1677123610.092365,53990,-0.3790000081062317
1677124711.598567,54100,-0.21700000762939453
1677124983.01588,54200,-0.20800000429153442
1677125254.894571,54300,-0.19900000095367432
1677125527.392255,54400,-0.19900000095367432
1677126073.423135,54600,-0.22600001096725464
1677127143.919151,54991,-0.19900000095367432
1677127402.726049,55091,-0.4779999852180481
1677127650.407048,55191,-0.765999972820282
1677128200.291296,55391,-0.19900000095367432
1677128472.804278,55491,-0.19900000095367432
1677128744.98007,55591,-0.19900000095367432
1677129017.836982,55691,-0.22600001096725464
1677129551.798083,55891,-0.289000004529953
1677130931.232166,56100,-0.20800000429153442
1677131750.515262,56400,-0.19900000095367432
1677132827.163877,56800,-0.19900000095367432
1677133901.245111,57200,-0.44200000166893005
1677134177.669121,57300,-0.19900000095367432
1677134451.312446,57400,-0.19900000095367432
1677134995.646387,57600,-0.19900000095367432
1677135268.822998,57700,-0.19900000095367432
1677135543.367182,57800,-0.19900000095367432
1677135805.296395,57900,-0.45100000500679016
1677136077.473646,58000,-0.19900000095367432
1677137487.154691,58200,-0.19900000095367432
1677137760.893709,58300,-0.21700000762939453
